,Best,Time
0,1910.0,0.0060237640000195825
1,1923.0,0.005721928000184562
2,1914.0,0.0066711699998904805
3,1753.0,0.006761840999843116
4,1772.0,0.006035525000015696
5,1931.0,0.006461600000193357
6,1914.0,0.006769439999970928
7,1867.0,0.00730925700008811
8,1893.0,0.006482557000026645
9,1860.0,0.0065106850001939165
10,1697.0,0.006224928000165164
11,1966.0,0.00662419300010697
12,1807.0,0.00573706599993784
13,1889.0,0.006579820999832009
14,1755.0,0.00664712699995107
15,1891.0,0.01099593900016771
16,1866.0,0.010501613000087673
17,1925.0,0.006109487000003355
18,1895.0,0.006090730999858351
19,1872.0,0.0071304939999663475
20,1831.0,0.006774636000045575
21,1879.0,0.006337445999861302
22,1845.0,0.005646640999884767
23,1941.0,0.005516076999811048
24,1829.0,0.006027023999877201
25,1839.0,0.005795708000050581
26,1918.0,0.006350978000000396
27,1931.0,0.005851747999940926
28,1940.0,0.005519758999980695
29,1859.0,0.006046568999863666
30,1834.0,0.005728132000058395
31,1950.0,0.0069532620000245515
32,1791.0,0.006055165999896417
33,1831.0,0.005607945000065229
34,1924.0,0.005853395999793065
35,1813.0,0.005630750000136686
36,1912.0,0.006074222000052032
37,1955.0,0.005894983999951364
38,1737.0,0.006140146999996432
39,1927.0,0.006553976000077455
40,1877.0,0.006113265999829309
41,1896.0,0.007710019000114698
42,1929.0,0.00580727300007311
43,1769.0,0.006109521000098539
44,1801.0,0.006254933999798595
45,1845.0,0.007068264000054114
46,1913.0,0.008308747999990374
47,1877.0,0.006053661000123611
48,1880.0,0.006111945000156993
49,1828.0,0.0055006509999202535
50,1874.0,0.006114976000162642
51,1795.0,0.00632438299999194
52,1857.0,0.006417198999997709
53,1919.0,0.006638427999860141
54,1803.0,0.0058138830002008035
55,1859.0,0.0059293970000453555
56,1713.0,0.005622257999903013
57,1881.0,0.00574672599987025
58,1831.0,0.006557221000093705
59,1920.0,0.005986977000020488
60,1894.0,0.0064617630000611825
61,1947.0,0.006157777999987957
62,1793.0,0.006022237000024688
63,1913.0,0.005765596999935951
64,1784.0,0.005817096000100719
65,1926.0,0.006912439999950948
66,1890.0,0.0062849810001353035
67,1777.0,0.00637659399990298
68,1915.0,0.006334127999934935
69,1941.0,0.005741913000065324
70,1951.0,0.006231221000007281
71,1849.0,0.006020653999939896
72,1890.0,0.006574342000021716
73,1917.0,0.006784235999930388
74,1863.0,0.006630914999959714
75,1793.0,0.006253486000105113
76,1953.0,0.00562683700013622
77,1865.0,0.006087546999879123
78,1877.0,0.0057157860001098015
79,1872.0,0.006662804999905347
80,1905.0,0.007906642000079955
81,1929.0,0.006380987000056848
82,1904.0,0.00599761600005877
83,1834.0,0.006707301999995252
84,1899.0,0.00745995900001617
85,1932.0,0.0075272140002198284
86,1932.0,0.00850474599997142
87,1794.0,0.0060793489999468875
88,1843.0,0.007129879000103756
89,1889.0,0.005668229999855612
90,1847.0,0.005932582000014008
91,1869.0,0.005572447000076863
92,1882.0,0.006121873999973104
93,1818.0,0.00651944299988827
94,1975.0,0.005767672999809292
95,1866.0,0.005881922999833478
96,1944.0,0.005403634000003876
97,1728.0,0.005827898000006826
98,1825.0,0.005931019999934506
99,1928.0,0.006078310000020792
